# Wall shear stress
# Time        	patch         	min           	max           
0.000000e+00	fixedWalls	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.000000e+00	movingWall	(2.735330e-01 0.000000e+00 0.000000e+00)	(4.517800e-01 0.000000e+00 0.000000e+00)
1.000000e-01	fixedWalls	(-2.587376e-02 -4.611637e-02 -1.537493e-18)	(3.756020e-03 4.459523e-02 1.128978e-19)
1.000000e-01	movingWall	(1.971675e-01 -5.256918e-03 -3.444088e-20)	(2.320665e-01 5.155803e-03 1.699207e-19)
2.000000e-01	fixedWalls	(-5.592843e-02 -6.759390e-02 -1.846081e-18)	(9.394802e-03 6.183552e-02 3.277839e-20)
2.000000e-01	movingWall	(1.571802e-01 -1.074303e-02 -1.570244e-19)	(2.038394e-01 9.932961e-03 4.677433e-21)
3.000000e-01	fixedWalls	(-7.697316e-02 -7.812774e-02 -1.908108e-18)	(1.199665e-02 6.923060e-02 2.967489e-20)
3.000000e-01	movingWall	(1.300561e-01 -1.839351e-02 -3.838259e-19)	(1.941930e-01 9.129601e-03 0.000000e+00)
4.000000e-01	fixedWalls	(-9.111222e-02 -8.269902e-02 -1.896487e-18)	(1.613202e-02 8.042209e-02 2.705185e-20)
4.000000e-01	movingWall	(1.137070e-01 -2.407439e-02 -5.157217e-19)	(1.922575e-01 9.626134e-03 0.000000e+00)
5.000000e-01	fixedWalls	(-1.007128e-01 -8.427424e-02 -1.871968e-18)	(1.956177e-02 9.088886e-02 2.489419e-20)
5.000000e-01	movingWall	(1.027989e-01 -2.767012e-02 -5.823566e-19)	(1.922742e-01 1.230620e-02 4.455978e-21)
