# Wall shear stress
# Time       	patch        	min          	max          
0.000000e+00	movingWall	(4.000000e+00 0.000000e+00 0.000000e+00)	(4.000000e+00 0.000000e+00 0.000000e+00)
0.000000e+00	fixedWalls	(0.000000e+00 -2.000000e+00 0.000000e+00)	(0.000000e+00 2.000000e+00 0.000000e+00)
1.000000e-01	movingWall	(5.873482e-01 -1.243121e+00 0.000000e+00)	(3.075161e+00 1.280267e+00 0.000000e+00)
1.000000e-01	fixedWalls	(-1.946687e+00 -2.276693e+00 0.000000e+00)	(2.249403e-01 2.270635e+00 0.000000e+00)
2.000000e-01	movingWall	(5.859998e-01 -1.243069e+00 0.000000e+00)	(3.075178e+00 1.280261e+00 0.000000e+00)
2.000000e-01	fixedWalls	(-1.946682e+00 -2.276677e+00 0.000000e+00)	(2.248965e-01 2.270622e+00 0.000000e+00)
3.000000e-01	movingWall	(5.859797e-01 -1.243069e+00 0.000000e+00)	(3.075178e+00 1.280260e+00 0.000000e+00)
3.000000e-01	fixedWalls	(-1.946677e+00 -2.276677e+00 0.000000e+00)	(2.248947e-01 2.270623e+00 0.000000e+00)
4.000000e-01	movingWall	(5.859716e-01 -1.243069e+00 0.000000e+00)	(3.075178e+00 1.280260e+00 0.000000e+00)
4.000000e-01	fixedWalls	(-1.946677e+00 -2.276677e+00 0.000000e+00)	(2.248947e-01 2.270623e+00 0.000000e+00)
5.000000e-01	movingWall	(5.859676e-01 -1.243069e+00 0.000000e+00)	(3.075178e+00 1.280260e+00 0.000000e+00)
5.000000e-01	fixedWalls	(-1.946677e+00 -2.276677e+00 0.000000e+00)	(2.248947e-01 2.270623e+00 0.000000e+00)
