# y+ ()      
# Time       	patch        	min          	max          	average      
0            	movingWall	1.581139e+01	1.581139e+01	1.581139e+01
0            	fixedWalls	0.000000e+00	0.000000e+00	0.000000e+00
0.5          	movingWall	1.387268e+01	1.544216e+01	1.450546e+01
0.5          	fixedWalls	2.744184e-01	7.394760e+00	1.849970e+00
1            	movingWall	1.392702e+01	1.544366e+01	1.451464e+01
1            	fixedWalls	3.832391e-01	7.489629e+00	2.787003e+00
1.5          	movingWall	1.393798e+01	1.544492e+01	1.451960e+01
1.5          	fixedWalls	4.327659e-01	7.354217e+00	3.470994e+00
2            	movingWall	1.392632e+01	1.544642e+01	1.451316e+01
2            	fixedWalls	3.552653e-01	7.363179e+00	3.837461e+00
2.5          	movingWall	1.390419e+01	1.544814e+01	1.449878e+01
2.5          	fixedWalls	3.367682e-01	7.395820e+00	3.994214e+00
3            	movingWall	1.387833e+01	1.545275e+01	1.448192e+01
3            	fixedWalls	2.314757e-01	7.442104e+00	4.170523e+00
3.5          	movingWall	1.385264e+01	1.546211e+01	1.447078e+01
3.5          	fixedWalls	3.998928e-01	7.501246e+00	4.356755e+00
4            	movingWall	1.382747e+01	1.547456e+01	1.445166e+01
4            	fixedWalls	6.980350e-01	7.556650e+00	4.523906e+00
4.5          	movingWall	1.374707e+01	1.549739e+01	1.439590e+01
4.5          	fixedWalls	4.768103e-01	7.680952e+00	4.658940e+00
5            	movingWall	1.369753e+01	1.551081e+01	1.436558e+01
5            	fixedWalls	4.620878e-01	7.782772e+00	4.790104e+00
5.5          	movingWall	1.368461e+01	1.551404e+01	1.435301e+01
5.5          	fixedWalls	6.347548e-01	7.786380e+00	4.891591e+00
6            	movingWall	1.365623e+01	1.551980e+01	1.433332e+01
6            	fixedWalls	6.879188e-01	7.818173e+00	4.959810e+00
6.5          	movingWall	1.362784e+01	1.552634e+01	1.431166e+01
6.5          	fixedWalls	7.564748e-01	7.908337e+00	5.016302e+00
7            	movingWall	1.361210e+01	1.552948e+01	1.429895e+01
7            	fixedWalls	8.772889e-01	7.994813e+00	5.070499e+00
7.5          	movingWall	1.360738e+01	1.552965e+01	1.429466e+01
7.5          	fixedWalls	9.268640e-01	8.013478e+00	5.114765e+00
8            	movingWall	1.360620e+01	1.553117e+01	1.429080e+01
8            	fixedWalls	8.669346e-01	8.002690e+00	5.144486e+00
8.5          	movingWall	1.357921e+01	1.553545e+01	1.427460e+01
8.5          	fixedWalls	8.699682e-01	8.035604e+00	5.163309e+00
9            	movingWall	1.356375e+01	1.553620e+01	1.426649e+01
9            	fixedWalls	8.939023e-01	8.101102e+00	5.185355e+00
9.5          	movingWall	1.356330e+01	1.553654e+01	1.426558e+01
9.5          	fixedWalls	9.400882e-01	8.103702e+00	5.203574e+00
10           	movingWall	1.356366e+01	1.553647e+01	1.426483e+01
10           	fixedWalls	9.191027e-01	8.101366e+00	5.216487e+00
